#Firmware: MS2/Extra 3.4.4 release  20201006 18:17BST(c)KC/JSM/JB    uS
TriggerTime,Time
ms,ms
8.511,17020.773
8.558,17029.332
8.596,17037.928
8.615,17046.543
8.622,17055.166
8.566,17063.732
8.566,17072.299
8.608,17080.906
8.647,17089.553
8.655,17098.207
8.566,17106.773
8.538,17115.313
8.588,17123.900
8.633,17132.533
8.657,17141.189
8.652,17149.842
8.655,17158.496
8.647,17167.143
8.670,17175.813
8.687,17184.500
8.628,17193.127
8.575,17201.703
8.603,17210.307
8.647,17218.953
8.664,17227.617
8.579,17236.195
8.565,17244.762
8.615,17253.377
8.655,17262.031
8.682,17270.713
8.705,17279.418
8.672,17288.090
8.680,17296.770
8.723,17305.492
8.660,17314.152
8.637,17322.789
8.672,17331.461
8.717,17340.178
8.766,17348.943
8.776,17357.719
8.727,17366.445
8.704,17375.148
8.731,17383.879
8.762,17392.641
8.771,17401.412
8.664,17410.076
8.638,17418.715
8.677,17427.393
8.729,17436.121
8.767,17444.889
8.794,17453.682
8.774,17462.455
8.672,17471.127
8.664,17479.791
8.709,17488.500
8.756,17497.256
8.776,17506.031
8.771,17514.803
8.771,17523.574
8.806,17532.381
8.835,17541.217
8.760,17549.977
8.707,17558.684
8.719,17567.402
8.771,17576.174
8.820,17584.994
8.870,17593.865
8.890,17602.756
8.872,17611.629
8.841,17620.469
8.850,17629.318
8.893,17638.211
8.855,17647.066
8.699,17655.766
8.663,17664.428
8.721,17673.148
8.764,17681.912
8.821,17690.732
8.855,17699.588
8.892,17708.480
8.886,17717.365
8.872,17726.238
8.826,17735.064
8.831,17743.895
8.865,17752.760
8.890,17761.650
8.774,17770.424
8.746,17779.170
8.793,17787.963
8.838,17796.801
8.890,17805.689
8.890,17814.580
8.838,17823.418
8.811,17832.229
8.843,17841.072
8.883,17849.955
8.900,17858.855
8.903,17867.758
8.890,17876.648
8.849,17885.496
8.776,17894.271
8.771,17903.043
8.831,17911.873
8.865,17920.738
8.878,17929.615
8.750,17938.365
8.712,17947.078
8.763,17955.842
8.811,17964.652
8.857,17973.510
8.839,17982.348
8.719,17991.066
8.687,17999.754
8.736,18008.490
8.789,18017.279
8.831,18026.109
8.857,18034.967
8.816,18043.783
8.742,18052.525
8.742,18061.268
8.776,18070.043
8.806,18078.850
8.732,18087.582
8.573,18096.154
8.556,18104.711
8.606,18113.316
8.660,18121.977
8.704,18130.680
8.754,18139.434
8.773,18148.207
8.806,18157.014
8.796,18165.809
8.756,18174.564
8.778,18183.342
8.803,18192.145
8.813,18200.957
8.690,18209.646
8.652,18218.299
8.702,18227.000
8.748,18235.748
8.762,18244.510
8.724,18253.234
8.711,18261.945
8.736,18270.682
8.771,18279.453
8.744,18288.197
8.610,18296.809
8.573,18305.381
8.625,18314.006
8.674,18322.680
8.721,18331.400
8.741,18340.141
8.672,18348.813
8.585,18357.398
8.585,18365.984
8.639,18374.623
8.685,18383.309
8.721,18392.029
8.707,18400.736
8.637,18409.373
8.628,18418.000
8.670,18426.670
8.682,18435.352
8.583,18443.934
8.528,18452.461
MARK 003
8.156,18460.617
8.181,18468.799
8.206,18477.004
8.171,18485.174
8.149,18493.322
8.186,18501.508
8.208,18509.717
8.199,18517.916
8.084,18526.000
8.057,18534.057
8.107,18542.164
8.136,18550.301
8.124,18558.424
8.003,18566.428
7.988,18574.416
8.020,18582.436
8.070,18590.506
8.087,18598.594
8.002,18606.596
7.966,18614.561
8.005,18622.566
8.047,18630.613
8.072,18638.686
8.015,18646.701
7.978,18654.680
8.015,18662.695
8.052,18670.748
8.079,18678.826
8.119,18686.945
8.092,18695.037
7.973,18703.010
7.940,18710.951
7.983,18718.934
8.032,18726.965
8.065,18735.029
8.092,18743.121
8.082,18751.203
8.015,18759.219
8.005,18767.225
8.055,18775.279
8.084,18783.363
8.114,18791.477
8.045,18799.521
8.000,18807.521
8.035,18815.557
8.077,18823.633
8.114,18831.746
8.144,18839.891
8.124,18848.014
8.028,18856.041
8.010,18864.051
8.062,18872.113
8.107,18880.221
8.136,18888.357
8.139,18896.496
8.032,18904.527
7.993,18912.521
8.037,18920.559
8.080,18928.639
8.122,18936.760
8.156,18944.916
8.152,18953.068
8.020,18961.088
7.978,18969.066
8.025,18977.092
8.069,18985.160
8.104,18993.264
8.085,19001.350
8.000,19009.350
7.977,19017.326
8.018,19025.344
8.062,19033.406
8.089,19041.496
8.115,19049.611
8.042,19057.654
8.022,19065.676
8.067,19073.742
8.097,19081.840
8.121,19089.961
8.055,19098.016
8.045,19106.061
8.086,19114.146
8.124,19122.270
8.156,19130.426
8.123,19138.549
8.022,19146.570
8.013,19154.584
8.054,19162.639
8.097,19170.736
8.129,19178.865
8.141,19187.006
8.080,19195.086
8.039,19203.125
8.092,19211.217
8.109,19219.326
8.127,19227.453
8.074,19235.527
8.050,19243.578
8.069,19251.646
8.101,19259.748
8.102,19267.850
8.010,19275.859
7.990,19283.850
8.037,19291.887
8.072,19299.959
8.107,19308.066
8.087,19316.154
7.946,19324.100
7.921,19332.020
7.958,19339.977
8.002,19347.979
8.043,19356.021
8.022,19364.043
7.899,19371.941
7.861,19379.803
7.905,19387.709
7.948,19395.658
7.975,19403.633
7.972,19411.605
7.842,19419.447
7.816,19427.264
7.854,19435.117
7.896,19443.014
7.936,19450.949
7.970,19458.920
7.948,19466.867
7.830,19474.697
7.804,19482.502
7.834,19490.336
7.884,19498.219
7.918,19506.137
7.921,19514.059
7.820,19521.879
7.787,19529.666
7.820,19537.486
7.867,19545.354
7.883,19553.236
7.862,19561.098
7.762,19568.859
7.727,19576.586
7.760,19584.346
7.807,19592.152
7.849,19600.002
7.861,19607.863
7.844,19615.707
7.730,19623.438
7.690,19631.127
7.733,19638.859
7.768,19646.627
7.809,19654.436
7.829,19662.264
7.775,19670.039
7.754,19677.793
7.777,19685.570
7.814,19693.385
7.839,19701.223
7.790,19709.012
7.690,19716.701
7.683,19724.385
7.720,19732.105
7.757,19739.863
7.797,19747.660
7.829,19755.488
7.782,19763.270
7.663,19770.934
7.641,19778.574
7.671,19786.244
7.715,19793.959
7.752,19801.711
7.779,19809.490
7.792,19817.281
7.693,19824.975
7.655,19832.631
7.693,19840.324
7.730,19848.055
7.760,19855.814
7.777,19863.592
7.669,19871.260
7.628,19878.889
7.668,19886.557
7.706,19894.262
7.737,19901.998
7.757,19909.756
7.676,19917.432
7.648,19925.080
7.669,19932.748
7.706,19940.453
7.732,19948.186
7.715,19955.900
7.579,19963.480
7.535,19971.016
7.569,19978.584
7.607,19986.191
7.641,19993.832
7.653,20001.486
7.544,20009.031
7.504,20016.535
7.542,20024.076
7.577,20031.652
7.607,20039.260
7.546,20046.807
7.445,20054.252
7.436,20061.688
7.467,20069.154
7.502,20076.656
7.542,20084.197
7.576,20091.773
7.495,20099.268
7.461,20106.729
7.477,20114.205
7.508,20121.713
7.527,20129.240
7.460,20136.701
7.346,20144.047
7.337,20151.383
7.371,20158.754
