#
Not MAP,MAPwindow,isRPM,Sensor,MAP ADC,RPM,Tooth No,MAP
Flag,Flag,Flag,#,ADC,rpm,tooth,kPa
MARK 000
0.000,0.000,0.000,0.000,355.000,1368.000,2.000,97.379
0.000,0.000,0.000,0.000,362.000,1368.000,2.000,99.102
0.000,0.000,0.000,0.000,360.000,1368.000,2.000,98.610
0.000,0.000,0.000,0.000,357.000,1368.000,2.000,97.872
0.000,0.000,0.000,0.000,360.000,1368.000,2.000,98.610
0.000,0.000,0.000,0.000,359.000,1368.000,2.000,98.364
0.000,0.000,0.000,0.000,362.000,1368.000,2.000,99.102
0.000,0.000,0.000,0.000,363.000,1368.000,2.000,99.348
0.000,0.000,0.000,0.000,358.000,1368.000,2.000,98.118
0.000,0.000,0.000,0.000,354.000,1368.000,2.000,97.133
0.000,0.000,0.000,0.000,352.000,1368.000,2.000,96.641
0.000,0.000,0.000,0.000,348.000,1368.000,2.000,95.656
0.000,0.000,0.000,0.000,352.000,1368.000,2.000,96.641
0.000,0.000,0.000,0.000,349.000,1368.000,2.000,95.902
0.000,0.000,0.000,0.000,337.000,1368.000,2.000,92.949
0.000,0.000,0.000,0.000,335.000,1368.000,2.000,92.456
0.000,0.000,0.000,0.000,327.000,1368.000,2.000,90.487
0.000,0.000,0.000,0.000,318.000,1368.000,2.000,88.272
0.000,0.000,0.000,0.000,315.000,1368.000,2.000,87.534
0.000,0.000,0.000,0.000,314.000,1368.000,2.000,87.288
0.000,0.000,0.000,0.000,312.000,1368.000,2.000,86.795
0.000,0.000,0.000,0.000,310.000,1368.000,2.000,86.303
0.000,0.000,0.000,0.000,306.000,1368.000,2.000,85.318
0.000,0.000,0.000,0.000,308.000,1368.000,2.000,85.811
0.000,0.000,0.000,0.000,312.000,1368.000,2.000,86.795
0.000,0.000,0.000,0.000,318.000,1368.000,2.000,88.272
0.000,0.000,0.000,0.000,324.000,1368.000,2.000,89.749
0.000,0.000,0.000,0.000,329.000,1368.000,2.000,90.980
0.000,0.000,0.000,0.000,332.000,1368.000,2.000,91.718
0.000,0.000,0.000,0.000,336.000,1368.000,2.000,92.703
0.000,0.000,0.000,0.000,341.000,1368.000,2.000,93.933
0.000,0.000,0.000,0.000,346.000,1368.000,2.000,95.164
0.000,0.000,0.000,0.000,347.000,1368.000,2.000,95.410
0.000,0.000,0.000,0.000,343.000,1368.000,2.000,94.426
0.000,0.000,0.000,0.000,335.000,1368.000,2.000,92.456
0.000,0.000,0.000,0.000,327.000,1368.000,2.000,90.487
0.000,0.000,0.000,0.000,324.000,1368.000,2.000,89.749
0.000,0.000,0.000,0.000,318.000,1368.000,2.000,88.272
0.000,0.000,0.000,0.000,312.000,1368.000,2.000,86.795
0.000,0.000,0.000,0.000,300.000,1368.000,2.000,83.842
