//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-20-2022
//--  Time: 21:28
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 9.1(C), 	Resistance 1: 3810 Ohms 
//--    Temperature2: 23.5(C), 	Resistance 2: 2150 Ohms 
//--    Temperature3: 41(C), 	Resistance 3: 1110 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
264	118.08	1181 	1.289
265	117.82	1178 	1.294
266	117.57	1176 	1.299
267	117.32	1173 	1.304
268	117.06	1171 	1.309
269	116.81	1168 	1.313
270	116.56	1166 	1.318
271	116.31	1163 	1.323
272	116.06	1161 	1.328
273	115.81	1158 	1.333
274	115.56	1156 	1.338
275	115.31	1153 	1.343
276	115.07	1151 	1.348
277	114.82	1148 	1.353
278	114.57	1146 	1.357
279	114.33	1143 	1.362
280	114.08	1141 	1.367
281	113.84	1138 	1.372
282	113.60	1136 	1.377
283	113.35	1134 	1.382
284	113.11	1131 	1.387
285	112.87	1129 	1.392
286	112.63	1126 	1.396
287	112.39	1124 	1.401
288	112.15	1122 	1.406
289	111.91	1119 	1.411
290	111.67	1117 	1.416
291	111.44	1114 	1.421
292	111.20	1112 	1.426
293	110.96	1110 	1.431
294	110.73	1107 	1.436
295	110.49	1105 	1.440
296	110.26	1103 	1.445
297	110.02	1100 	1.450
298	109.79	1098 	1.455
299	109.55	1096 	1.460
300	109.32	1093 	1.465
301	109.09	1091 	1.470
302	108.86	1089 	1.475
303	108.63	1086 	1.479
304	108.40	1084 	1.484
305	108.17	1082 	1.489
306	107.94	1079 	1.494
307	107.71	1077 	1.499
308	107.48	1075 	1.504
309	107.25	1073 	1.509
310	107.02	1070 	1.514
311	106.80	1068 	1.519
312	106.57	1066 	1.523
313	106.35	1063 	1.528
314	106.12	1061 	1.533
315	105.90	1059 	1.538
316	105.67	1057 	1.543
317	105.45	1054 	1.548
318	105.22	1052 	1.553
319	105.00	1050 	1.558
320	104.78	1048 	1.563
321	104.56	1046 	1.567
322	104.33	1043 	1.572
323	104.11	1041 	1.577
324	103.89	1039 	1.582
325	103.67	1037 	1.587
326	103.45	1035 	1.592
327	103.23	1032 	1.597
328	103.01	1030 	1.602
329	102.80	1028 	1.606
330	102.58	1026 	1.611
331	102.36	1024 	1.616
332	102.14	1021 	1.621
333	101.93	1019 	1.626
334	101.71	1017 	1.631
335	101.49	1015 	1.636
336	101.28	1013 	1.641
337	101.06	1011 	1.646
338	100.85	1008 	1.650
339	100.63	1006 	1.655
340	100.42	1004 	1.660
341	100.21	1002 	1.665
342	99.99	1000 	1.670
343	99.78	998 	1.675
344	99.57	996 	1.680
345	99.36	994 	1.685
346	99.14	991 	1.689
347	98.93	989 	1.694
348	98.72	987 	1.699
349	98.51	985 	1.704
350	98.30	983 	1.709
351	98.09	981 	1.714
352	97.88	979 	1.719
353	97.67	977 	1.724
354	97.47	975 	1.729
355	97.26	973 	1.733
356	97.05	970 	1.738
357	96.84	968 	1.743
358	96.63	966 	1.748
359	96.43	964 	1.753
360	96.22	962 	1.758
361	96.01	960 	1.763
362	95.81	958 	1.768
363	95.60	956 	1.772
364	95.40	954 	1.777
365	95.19	952 	1.782
366	94.99	950 	1.787
367	94.78	948 	1.792
368	94.58	946 	1.797
369	94.38	944 	1.802
370	94.17	942 	1.807
371	93.97	940 	1.812
372	93.77	938 	1.816
373	93.56	936 	1.821
374	93.36	934 	1.826
375	93.16	932 	1.831
376	92.96	930 	1.836
377	92.76	928 	1.841
378	92.56	926 	1.846
379	92.36	924 	1.851
380	92.15	922 	1.855
381	91.95	920 	1.860
