//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-11-2022
//--  Time: 17:57
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 4.0     AFR:22.35, 9.5
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
975	7.06	71 	4.761
976	7.04	70 	4.766
977	7.02	70 	4.771
978	7.01	70 	4.775
979	6.99	70 	4.780
980	6.98	70 	4.785
981	6.96	70 	4.790
982	6.95	69 	4.795
983	6.93	69 	4.800
984	6.91	69 	4.805
985	6.90	69 	4.810
986	6.88	69 	4.814
987	6.87	69 	4.819
988	6.85	69 	4.824
989	6.84	68 	4.829
990	6.82	68 	4.834
991	6.81	68 	4.839
992	6.79	68 	4.844
993	6.77	68 	4.849
994	6.76	68 	4.854
995	6.74	67 	4.858
996	6.73	67 	4.863
997	6.71	67 	4.868
998	6.70	67 	4.873
999	6.68	67 	4.878
1000	6.66	67 	4.883
1001	6.65	66 	4.888
1002	6.63	66 	4.893
1003	6.62	66 	4.897
1004	6.60	66 	4.902
1005	6.59	66 	4.907
1006	6.57	66 	4.912
1007	6.55	66 	4.917
1008	6.54	65 	4.922
1009	6.52	65 	4.927
1010	6.51	65 	4.932
1011	6.49	65 	4.937
1012	6.48	65 	4.941
1013	6.46	65 	4.946
1014	6.44	64 	4.951
1015	6.43	64 	4.956
1016	6.41	64 	4.961
1017	6.40	64 	4.966
1018	6.38	64 	4.971
1019	6.37	64 	4.976
1020	6.35	64 	4.980
